"Geography","Persons"
"Division No.  1, Subd. B (SNO), Newfoundland and Labrador","391"
"Mount Carmel-Mitchells Brook-St. Catherine's (T), Newfoundland and Labrador","351"
"St. Mary's (T), Newfoundland and Labrador","349"
"York Harbour (T), Newfoundland and Labrador","355"
"Division No.  7, Subd. G (SNO), Newfoundland and Labrador","311"
"Parson's Pond (T), Newfoundland and Labrador","331"
"Mary's Harbour (T), Newfoundland and Labrador","370"
"Port Rexton (T), Newfoundland and Labrador","328"
"Heart's Content (T), Newfoundland and Labrador","342"
"Division No.  8, Subd. P (SNO), Newfoundland and Labrador","325"
"Hant's Harbour (T), Newfoundland and Labrador","314"
"Division No.  1, Subd. R (SNO), Newfoundland and Labrador","242"
"Fermeuse (T), Newfoundland and Labrador","312"
"Ming's Bight (T), Newfoundland and Labrador","305"
"Division No.  8, Subd. A (SNO), Newfoundland and Labrador","308"
"Burlington (T), Newfoundland and Labrador","307"
"Hawke's Bay (T), Newfoundland and Labrador","320"
"Anchor Point (T), Newfoundland and Labrador","304"
"St. Vincent's-St. Stephen's-Peter's River (T), Newfoundland and Labrador","315"
"Elliston (T), Newfoundland and Labrador","296"
"Division No.  8, Subd. O (SNO), Newfoundland and Labrador","285"
"Rigolet (T), Newfoundland and Labrador","351"
"Renews-Cappahayden (T), Newfoundland and Labrador","282"
"Division No.  1, Subd. I (SNO), Newfoundland and Labrador","303"
"Seal Cove (White Bay) (T), Newfoundland and Labrador","296"
"Fox Cove-Mortier (T), Newfoundland and Labrador","237"
"Pilley's Island (T), Newfoundland and Labrador","277"
"Charlottetown (Labrador) (T), Newfoundland and Labrador","299"
"Leading Tickles (T), Newfoundland and Labrador","291"
"Bishop's Cove (T), Newfoundland and Labrador","290"
"Jackson's Arm (T), Newfoundland and Labrador","269"
"Little Burnt Bay (T), Newfoundland and Labrador","275"
"Woody Point, Bonne Bay (T), Newfoundland and Labrador","268"
"Division No.  5, Subd. C (SNO), Newfoundland and Labrador","275"
"Division No.  5, Subd. A (SNO), Newfoundland and Labrador","274"
"Cottlesville (T), Newfoundland and Labrador","254"
"Flower's Cove (T), Newfoundland and Labrador","249"
"Traytown (T), Newfoundland and Labrador","251"
"Greenspond (T), Newfoundland and Labrador","257"
"Lamaline (T), Newfoundland and Labrador","251"
"Division No.  3, Subd. D (SNO), Newfoundland and Labrador","247"
"Baytona (T), Newfoundland and Labrador","253"
"Hughes Brook (T), Newfoundland and Labrador","291"
"Daniel's Harbour (T), Newfoundland and Labrador","231"
"Fox Harbour (T), Newfoundland and Labrador","230"
"Chance Cove (T), Newfoundland and Labrador","247"
