"Geography","Persons"
"Smooth Rock Falls (T), Ontario","1,249"
"Chisholm (TP), Ontario","1,330"
"St.-Charles (MU), Ontario","1,288"
"Thessalon (T), Ontario","1,265"
"Moonbeam (TP), Ontario","1,205"
"St. Joseph (TP), Ontario","1,329"
"Ignace (TP), Ontario","1,196"
"Oneida 41 (IRI), Ontario","1,330"
"Armstrong (TP), Ontario","1,201"
"Sagamok (IRI), Ontario","1,216"
"Cobalt (T), Ontario","1,118"
"Garden River 14 (IRI), Ontario","1,187"
"Carling (TP), Ontario","1,142"
"South River (VL), Ontario","1,250"
"McKellar (TP), Ontario","1,216"
"South Algonquin (TP), Ontario","1,128"
"Schreiber (TP), Ontario","1,027"
"Curve Lake First Nation 35 (IRI), Ontario","1,125"
"Saugeen 29 (IRI), Ontario","1,143"
"Laird (TP), Ontario","1,048"
"Kitchenuhmaykoosib Aaki 84 (Big Trout Lake) (IRI), Ontario","1,197"
"Papineau-Cameron (TP), Ontario","1,047"
"Fort Hope 64 (IRI), Ontario","1,034"
"Prince (TP), Ontario","1,047"
"Assiginack (TP), Ontario","1,012"
"Kettle Point 44 (IRI), Ontario","1,058"
"Ear Falls (TP), Ontario","974"
"Hornepayne (TP), Ontario","929"
"Fort William 52 (IRI), Ontario","957"
"Lac Seul 28 (IRI), Ontario","1,034"
"Burk's Falls (VL), Ontario","1,141"
"Alberton (TP), Ontario","982"
"Machin (MU), Ontario","1,073"
"Sundridge (VL), Ontario","922"
"La Vallee (TP), Ontario","960"
"Whitestone (MU), Ontario","911"
"Six Nations (Part) 40 (IRI), Ontario","990"
"Red Rock (TP), Ontario","866"
"Weagamow Lake 87 (IRI), Ontario","1,019"
"M'Chigeeng 22 (West Bay 22) (IRI), Ontario","922"
"Mnjikaning First Nation 32 (IRI), Ontario","922"
"Kearney (T), Ontario","949"
"Machar (TP), Ontario","828"
"Deer Lake (IRI), Ontario","959"
"Carlow/Mayo (TP), Ontario","990"
"Gore Bay (T), Ontario","844"
"Kasabonika Lake (IRI), Ontario","900"
"Wabaseemoong (IRI), Ontario","876"
"McMurrich/Monteith (TP), Ontario","841"
"Couchiching 16A (IRI), Ontario","901"
"Conmee (TP), Ontario","874"
"Rainy River (T), Ontario","812"
"Temagami (MU), Ontario","834"
"Webequie (IRI), Ontario","832"
"Val Rita-Harty (TP), Ontario","770"
"Fort Albany (Part) 67 (IRI), Ontario","772"
"Johnson (TP), Ontario","778"
"Chippewas of the Thames First Nation 42 (IRI), Ontario","823"
"Larder Lake (TP), Ontario","747"
"Spanish (T), Ontario","737"
"Charlton and Dack (MU), Ontario","679"
"Wollaston (TP), Ontario","737"
"O'Connor (TP), Ontario","618"
"Plummer Additional (TP), Ontario","690"
"White River (TP), Ontario","677"
"Ryerson (TP), Ontario","608"
"Chapple (TP), Ontario","674"
"Mattice-Val Côté (TP), Ontario","641"
"English River 21 (IRI), Ontario","645"
"Oil Springs (VL), Ontario","661"
"Sarnia 45 (IRI), Ontario","669"
"Christian Island 30 (IRI), Ontario","647"
"Rankin Location 15D (IRI), Ontario","641"
"Dubreuilville (TP), Ontario","600"
"New Credit (Part) 40A (IRI), Ontario","665"
"Neyaashiinigmiing 27 (IRI), Ontario","597"
"McGarry (TP), Ontario","645"
"Billings (TP), Ontario","699"
"Baldwin (TP), Ontario","612"
"Wunnumin 1 (IRI), Ontario","676"
"Coleman (TP), Ontario","611"
"Constance Lake 92 (IRI), Ontario","637"
"Westport (VL), Ontario","615"
"Tudor and Cashel (TP), Ontario","627"
"Whitefish Bay 32A (IRI), Ontario","610"
"Bruce Mines (T), Ontario","603"
"Cat Lake 63C (IRI), Ontario","708"
"Sioux Narrows-Nestor Falls (TP), Ontario","595"
"Harley (TP), Ontario","529"
"Tarbutt and Tarbutt Additional (TP), Ontario","503"
"Harris (TP), Ontario","567"
"Fauquier-Strickland (TP), Ontario","524"
"The Archipelago (TP), Ontario","518"
"Sachigo Lake 1 (IRI), Ontario","600"
"Kingfisher Lake 1 (IRI), Ontario","543"
"Calvin (MU), Ontario","537"
"Hudson (TP), Ontario","526"
"Alderville First Nation (IRI), Ontario","396"
"The North Shore (TP), Ontario","487"
"Gordon/Barrie Island (MU), Ontario","472"
"Morley (TP), Ontario","499"
"Poplar Hill (IRI), Ontario","502"
"Gillies (TP), Ontario","489"
"Newbury (VL), Ontario","434"
"Dawson (TP), Ontario","476"
"Whitefish River (Part) 4 (IRI), Ontario","511"
"Evanturel (TP), Ontario","438"
"Wapekeka 2 (IRI), Ontario","476"
"Pic River 50 (IRI), Ontario","458"
"Pikwakanagan (Golden Lake 39) (IRI), Ontario","417"
"Osnaburgh 63B (IRI), Ontario","520"
"Tehkummah (TP), Ontario","452"
"Kee-Way-Win (IRI), Ontario","505"
"Kenora 38B (IRI), Ontario","448"
"James (TP), Ontario","424"
"Mississagi River 8 (IRI), Ontario","429"
"Moravian 47 (IRI), Ontario","380"
"Shoal Lake (Part) 39A (IRI), Ontario","415"
"Long Lake 58 (IRI), Ontario","402"
"Pickle Lake (TP), Ontario","373"
"Whitefish Lake 6 (IRI), Ontario","488"
"Summer Beaver (S-É), Ontario","404"
"Killarney (MU), Ontario","345"
"Sucker Creek 23 (IRI), Ontario","392"
"Sabaskong Bay 35D (IRI), Ontario","348"
"Aroland 83 (IRI), Ontario","381"
"Casey (TP), Ontario","381"
"Serpent River 7 (IRI), Ontario","402"
"Hiawatha First Nation (IRI), Ontario","425"
"Fort Severn 89 (IRI), Ontario","366"
"Kerns (TP), Ontario","385"
"Bearskin Lake (IRI), Ontario","377"
"Dokis 9 (IRI), Ontario","363"
"Limerick (TP), Ontario","400"
"Burpee and Mills (TP), Ontario","379"
"Nairn and Hyman (TP), Ontario","390"
"Chamberlain (TP), Ontario","337"
"Whitesand (IRI), Ontario","373"
"Parry Island First Nation (IRI), Ontario","336"
"Dorion (TP), Ontario","325"
"Latchford (T), Ontario","322"
"Jocelyn (TP), Ontario","318"
"Hilton (TP), Ontario","317"
"Joly (TP), Ontario","317"
"Lake Helen 53A (IRI), Ontario","348"
"North Spirit Lake (IRI), Ontario","309"
"Manitou Rapids 11 (IRI), Ontario","259"
"Muskrat Dam Lake (IRI), Ontario","298"
"Seine River 23A (IRI), Ontario","264"
"Chippewas of Georgina Island First Nation (IRI), Ontario","269"
"Marten Falls 65 (IRI), Ontario","267"
"Gull River 55 (IRI), Ontario","256"
"Head, Clara and Maria (TP), Ontario","279"
"Neskantaga (IRI), Ontario","252"
"Big Grassy River 35G (IRI), Ontario","240"
"Pelee (TP), Ontario","250"
"Osnaburgh 63A (IRI), Ontario","241"
"Lake of the Woods (TP), Ontario","230"
"Matachewan (TP), Ontario","231"
"Opasatika (TP), Ontario","225"
"Eagle Lake 27 (IRI), Ontario","236"
"Wahta Mohawk Territory (IRI), Ontario","234"
"Rainy Lake 17A (IRI), Ontario","215"
"Ginoogaming First Nation (IRI), Ontario","219"
"Moose Point 79 (IRI), Ontario","228"
"Hilliard (TP), Ontario","213"
"Pic Mobert North (IRI), Ontario","207"
"Shawanaga 17 (IRI), Ontario","204"
"Peawanuck (S-É), Ontario","207"
"The Dalles 38C (IRI), Ontario","206"
"Mattagami 71 (IRI), Ontario","198"
"Slate Falls (S-É), Ontario","199"
"Parry Sound, Unorganized, North East Part (NO), Ontario","195"
"Rocky Bay 1 (IRI), Ontario","193"
"Neguaguon Lake 25D (IRI), Ontario","180"
"Hilton Beach (VL), Ontario","176"
"Wabigoon Lake 27 (IRI), Ontario","179"
"Manitoulin, Unorganized, West Part (NO), Ontario","174"
"Mattawan (TP), Ontario","167"
"Rainy Lake 26A (IRI), Ontario","160"
"Munsee-Delaware Nation 1 (IRI), Ontario","170"
"Shoal Lake 34B2 (IRI), Ontario","160"
"Bear Island 1 (IRI), Ontario","159"
"Abitibi 70 (IRI), Ontario","148"
"Rat Portage 38A (IRI), Ontario","147"
"Gauthier (TP), Ontario","143"
"Sheshegwaning 20 (IRI), Ontario","144"
"New Credit (Part) 40A (IRI), Ontario","149"
"Sheguiandah 24 (IRI), Ontario","141"
"Mississaugas of Scugog Island (IRI), Ontario","146"
"Pic Mobert South (IRI), Ontario","129"
"Whitefish Bay 34A (IRI), Ontario","131"
"Brethour (TP), Ontario","128"
"Thessalon 12 (IRI), Ontario","128"
"French River 13 (IRI), Ontario","124"
"Wahnapitei 11 (IRI), Ontario","120"
"Rainy Lake 18C (IRI), Ontario","117"
"Thornloe (VL), Ontario","115"
"Nipissing, Unorganized, South Part (NO), Ontario","106"
"Magnetewan 1 (IRI), Ontario","105"
"Saug-a-Gaw-Sing 1 (IRI), Ontario","99"
"Whitefish Bay 33A (IRI), Ontario","102"
"New Post 69A (IRI), Ontario","96"
"Goulais Bay 15A (IRI), Ontario","99"
"Northwest Angle 33B (IRI), Ontario","101"
"Ojibway Nation of Saugeen (Savant Lake) (IRI), Ontario","93"
"Pays Plat 51 (IRI), Ontario","92"
"Duck Lake 76B (IRI), Ontario","87"
"Gros Cap 49 (IRI), Ontario","80"
"Shoal Lake (Part) 40 (IRI), Ontario","75"
"Wabauskang 21 (IRI), Ontario","74"
"Lake Of The Woods 37 (IRI), Ontario","66"
"Matachewan 72 (IRI), Ontario","63"
"Zhiibaahaasing 19A (Cockburn Island 19A) (IRI), Ontario","58"
"Christian Island 30A (IRI), Ontario","47"
"Chapleau 74A (IRI), Ontario","22"
"Wawakapewin (Long Dog Lake) (IRI), Ontario","22"
"Cochrane, Unorganized, South East Part (NO), Ontario","10"
"Big Island Mainland 93 (IRI), Ontario","10"
"Henvey Inlet 2 (IRI), Ontario","5"
"Timiskaming, Unorganized, East Part (NO), Ontario","5"
"Long Sault 12 (IRI), Ontario","5"
"Rainy Lake 17B (IRI), Ontario","5"
"Chief's Point No. 28 (IRI), Ontario","0"
"Cockburn Island (TP), Ontario","0"
"Chapleau 75 (IRI), Ontario","0"
"Cochrane, Unorganized, South West Part (NO), Ontario","0"
"Moose Factory 68 (IRI), Ontario","0"
"Flying Post 73 (IRI), Ontario","0"
"Algoma, Unorganized, South East Part (NO), Ontario","0"
"Lake Nipigon (IRI), Ontario","0"
"Seine River 22A2 (IRI), Ontario","0"
"Lac des Mille Lacs 22A1 (IRI), Ontario","0"
"Sabaskong Bay (Part) 35C (IRI), Ontario","0"
"Agency 1 (IRI), Ontario","0"
"Seine River 23B (IRI), Ontario","0"
"Sabaskong Bay (Part) 35C (IRI), Ontario","0"
"Lansdowne House (S-É), Ontario","0"
"McDowell Lake (S-É), Ontario","0"
"Manitoba","1,379,888"
"Census subdivisions with 5,000-plus population, Manitoba","1,084,832"
"Winnipeg (CY), Manitoba","767,250"
"Brandon (CY), Manitoba","53,783"
"Steinbach (CY), Manitoba","18,637"
"Hanover (RM), Manitoba","18,168"
"Springfield (RM), Manitoba","16,571"
"Thompson (CY), Manitoba","13,808"
"Portage la Prairie (CY), Manitoba","14,264"
"Winkler (CY), Manitoba","14,194"
"St. Andrews (RM), Manitoba","12,279"
"Taché (RM), Manitoba","10,379"
"St. Clements (RM), Manitoba","11,653"
"Selkirk (CY), Manitoba","11,130"
"East St. Paul (RM), Manitoba","9,955"
"Stanley (RM), Manitoba","9,660"
"Morden (CY), Manitoba","10,212"
"Dauphin (CY), Manitoba","8,702"
"Rockwood (RM), Manitoba","8,539"
"Macdonald (RM), Manitoba","8,335"
"Portage la Prairie (RM), Manitoba","7,205"
"Ritchot (RM), Manitoba","8,330"
"La Broquerie (RM), Manitoba","7,016"
"Gimli (RM), Manitoba","6,389"
"Rhineland (MU), Manitoba","6,219"
"The Pas (T), Manitoba","5,473"
"West St. Paul (RM), Manitoba","6,315"
"Brokenhead (RM), Manitoba","5,401"
"Ste. Anne (RM), Manitoba","4,639"
"Norway House 17 (IRI), Manitoba","5,325"
"Flin Flon (Part) (CY), Manitoba","5,001"
"Census subdivisions with population under 5,000, Manitoba","295,056"
"Stonewall (T), Manitoba","4,954"
"Niverville (T), Manitoba","5,667"
"Neepawa (T), Manitoba","5,141"
"Cornwallis (RM), Manitoba","4,682"
"Altona (T), Manitoba","4,679"
"Swan River (T), Manitoba","4,020"
"North Norfolk (MU), Manitoba","4,208"
"Headingley (RM), Manitoba","4,154"
"De Salaberry (RM), Manitoba","4,115"
"Killarney - Turtle Mountain (RM), Manitoba","3,582"
"Woodlands (RM), Manitoba","3,563"
"Cartier (RM), Manitoba","3,792"
"Bifrost-Riverton (MU), Manitoba","3,526"
"Virden (T), Manitoba","3,305"
"Alexander (RM), Manitoba","3,588"
"St. Theresa Point (IRI), Manitoba","3,566"
"Beausejour (T), Manitoba","3,448"
"Hillsburg-Roblin-Shell River (MU), Manitoba","3,197"
"Carman (T), Manitoba","3,459"
"WestLake-Gladstone (MU), Manitoba","3,406"
"Lac du Bonnet (RM), Manitoba","3,116"
"Morris (RM), Manitoba","3,424"
"Lorne (MU), Manitoba","3,079"
"Wallace-Woodworth (RM), Manitoba","3,101"
"Division No. 19, Unorganized (NO), Manitoba","3,117"
"Swan Valley West (MU), Manitoba","2,888"
"North Cypress-Langford (MU), Manitoba","2,972"
"Peguis 1B (IRI), Manitoba","3,044"
"Grey (RM), Manitoba","2,636"
"Garden Hill First Nation (IRI), Manitoba","2,746"
"Nelson House 170 (IRI), Manitoba","2,749"
"Souris-Glenwood (MU), Manitoba","2,701"
"Sandy Bay 5 (IRI), Manitoba","2,754"
"Emerson-Franklin (MU), Manitoba","2,725"
"Division No. 22, Unorganized (NO), Manitoba","2,629"
"Opaskwayak Cree Nation 21E (IRI), Manitoba","2,529"
"Dufferin (RM), Manitoba","2,663"
"Minnedosa (T), Manitoba","2,481"
"Russell-Binscarth (MU), Manitoba","2,474"
"Kelsey (RM), Manitoba","2,309"
"Pembina (MU), Manitoba","2,424"
"Boissevain-Morton (MU), Manitoba","2,347"
"Dauphin (RM), Manitoba","2,297"
"Riverdale (MU), Manitoba","2,168"
"West Interlake (MU), Manitoba","2,157"
"Ste. Anne (T), Manitoba","2,556"
"Prairie View (MU), Manitoba","2,041"
"Split Lake (Part) 171 (IRI), Manitoba","2,180"
"Oxford House 24 (IRI), Manitoba","2,062"
"Cross Lake 19A (IRI), Manitoba","2,033"
"Fort Alexander 3 (IRI), Manitoba","1,995"
"Yellowhead (RM), Manitoba","1,701"
"Louise (MU), Manitoba","2,013"
"Morris (T), Manitoba","1,978"
"Pukatawagan 198 (IRI), Manitoba","2,163"
"Division No. 21, Unorganized (NO), Manitoba","1,871"
"Fisher (RM), Manitoba","2,020"
"Armstrong (RM), Manitoba","1,827"
"Norfolk-Treherne (MU), Manitoba","1,860"
"Carberry (T), Manitoba","1,770"
"Piney (RM), Manitoba","1,710"
"Ste. Rose (MU), Manitoba","1,653"
"Oakland-Wawanesa (MU), Manitoba","1,831"
"Rosedale (RM), Manitoba","1,659"
"Whitehead (RM), Manitoba","1,835"
"Minitonas-Bowsman (MU), Manitoba","1,587"
"Stuartburn (RM), Manitoba","1,808"
"Oakview (RM), Manitoba","1,652"
"Cross Lake 19 (IRI), Manitoba","1,696"
"Harrison Park (MU), Manitoba","1,608"
"Glenboro-South Cypress (MU), Manitoba","1,692"
"Grassland (MU), Manitoba","1,595"
"Whitemouth (RM), Manitoba","1,704"
"Pinawa (LGD), Manitoba","1,544"
"Fisher River 44 (IRI), Manitoba","1,616"
"Deloraine-Winchester (MU), Manitoba","1,516"
"Grandview (MU), Manitoba","1,445"
"Gilbert Plains (MU), Manitoba","1,428"
"Pipestone (RM), Manitoba","1,535"
"Prairie Lakes (RM), Manitoba","1,477"
"Thompson (RM), Manitoba","1,567"
"Wasagamack (IRI), Manitoba","1,484"
"Riding Mountain West (RM), Manitoba","1,441"
"St. François Xavier (RM), Manitoba","1,603"
"Waywayseecappo First Nation (IRI), Manitoba","1,479"
"Rosser (RM), Manitoba","1,442"
"Lakeshore (RM), Manitoba","1,360"
"Ebb and Flow 52 (IRI), Manitoba","1,358"
"Grahamdale (RM), Manitoba","1,465"
"St. Laurent (RM), Manitoba","1,411"
"Reynolds (RM), Manitoba","1,380"
"Powerview-Pine Falls (T), Manitoba","1,358"
"Cartwright-Roblin (MU), Manitoba","1,356"
"Elton (RM), Manitoba","1,380"
"Gillam (T), Manitoba","1,182"
"Chemawawin 2 (IRI), Manitoba","1,379"
"Montcalm (RM), Manitoba","1,243"
"Coldwell (RM), Manitoba","1,285"
"Sifton (RM), Manitoba","1,275"
"Long Plain (Part) 6 (IRI), Manitoba","1,282"
"Alonsa (RM), Manitoba","1,248"
"Arborg (T), Manitoba","1,334"
"God's Lake 23 (IRI), Manitoba","1,281"
"Hamiota (MU), Manitoba","1,217"
"Teulon (T), Manitoba","1,246"
"Minto-Odanah (MU), Manitoba","1,205"
"Fairford (Part) 50 (IRI), Manitoba","1,278"
"Glenella-Lansdowne (MU), Manitoba","1,275"
"St-Pierre-Jolys (VL), Manitoba","1,419"
"Two Borders (MU), Manitoba","1,200"
"Mossey River (RM), Manitoba","1,106"
"Roland (RM), Manitoba","1,138"
"Moose Lake 31A (IRI), Manitoba","1,152"
"Victoria (RM), Manitoba","1,157"
"Winnipeg Beach (T), Manitoba","1,251"
"Lac du Bonnet (T), Manitoba","986"
"Berens River 13 (IRI), Manitoba","1,222"
"Melita (T), Manitoba","1,062"
"Sioux Valley Dakota Nation (IRI), Manitoba","1,064"
"Shamattawa 1 (IRI), Manitoba","1,192"
"Argyle (RM), Manitoba","1,058"
"Division No.  1, Unorganized (NO), Manitoba","1,022"
"South Indian Lake (S-É), Manitoba","1,064"
"Rossburn (MU), Manitoba","1,003"
"Churchill (T), Manitoba","902"
"Snow Lake (T), Manitoba","936"
"Ellice-Archie (RM), Manitoba","899"
"McCreary (MU), Manitoba","886"
"Dog Creek 46 (IRI), Manitoba","955"
"Red Sucker Lake 1976 (IRI), Manitoba","920"
"Grand Rapids 33 (IRI), Manitoba","874"
"Poplar River 16 (IRI), Manitoba","948"
"Clanwilliam-Erickson (MU), Manitoba","950"
"Cross Lake 19E (IRI), Manitoba","893"
"Little Grand Rapids 14 (IRI), Manitoba","888"
"Shoal River Indian Reserve 65A (IRI), Manitoba","887"
"Dunnottar (VL), Manitoba","811"
"Lac Brochet 197A (IRI), Manitoba","843"
"Black River 9 (IRI), Manitoba","767"
"Bloodvein 12 (IRI), Manitoba","756"
"Brenda-Waskada (MU), Manitoba","594"
"God's River 86A (IRI), Manitoba","680"
"Pine Creek 66A (IRI), Manitoba","597"
"Ethelbert (MU), Manitoba","626"
"Hole or Hollow Water 10 (IRI), Manitoba","637"
"Leaf Rapids (T), Manitoba","547"
"Roseau River 2 (IRI), Manitoba","608"
"Mountain (North) (RM), Manitoba","556"
"Brokenhead 4 (IRI), Manitoba","559"
"Brochet 197 (IRI), Manitoba","552"
"Lynn Lake (T), Manitoba","534"
"York Landing (IRI), Manitoba","505"
"Crane River 51 (IRI), Manitoba","464"
"Mountain (South) (RM), Manitoba","399"
"Birdtail Creek 57 (IRI), Manitoba","485"
"Victoria Beach (RM), Manitoba","401"
"Keeseekoowenin 61 (IRI), Manitoba","402"
"Waterhen 45 (IRI), Manitoba","407"
"Valley River 63A (IRI), Manitoba","362"
"Swan Lake  7 (IRI), Manitoba","417"
"Rolling River 67 (IRI), Manitoba","309"
"Churchill 1 (IRI), Manitoba","331"
"Pauingassi First Nation (IRI), Manitoba","339"
"Canupawakpa Dakota First Nation (Oak Lake 59) (IRI), Manitoba","293"
"Opaskwayak Cree Nation 21I (IRI), Manitoba","298"
"Little Saskatchewan 48 (IRI), Manitoba","314"
"Division No. 23, Unorganized (NO), Manitoba","307"
"Grand Rapids (T), Manitoba","275"
"Opaskwayak Cree Nation 21A (IRI), Manitoba","213"
"Jackhead 43 (IRI), Manitoba","227"
"Buffalo Point 36 (IRI), Manitoba","173"
"Dakota Tipi 1 (IRI), Manitoba","166"
"Fox Lake 2 (IRI), Manitoba","171"
"Division No. 18, Unorganized, East Part (NO), Manitoba","165"
"Roseau Rapids 2A (IRI), Manitoba","130"
"Division No. 17, Unorganized (NO), Manitoba","100"
"Division No. 20, Unorganized, South Part (NO), Manitoba","80"
"Gambler 63 (Part) (IRI), Manitoba","80"
"Dakota Plains 6A (IRI), Manitoba","81"
"Mooseocoot (IRI), Manitoba","73"
"Division No. 20, Unorganized, North Part (NO), Manitoba","64"
"Fisher River 44A (IRI), Manitoba","65"
"Rolling River 67B (IRI), Manitoba","47"
"Opaskwayak Cree Nation 21B (IRI), Manitoba","41"
"Ilford (S-É), Manitoba","37"
"Swan Lake 65C (IRI), Manitoba","24"
"Opaskwayak Cree Nation 21C (IRI), Manitoba","18"
"Chemawawin 3 (IRI), Manitoba","15"
"Granville Lake (S-É), Manitoba","10"
"Gambler 63 (Part) (IRI), Manitoba","5"
"The Narrows 49 (IRI), Manitoba","5"
"Shoal Lake (Part) 40 (IRI), Manitoba","0"
"Shoal Lake (Part) 39A (IRI), Manitoba","0"
"Division No. 18, Unorganized, West Part (NO), Manitoba","0"
"Fairford (Part) 50 (IRI), Manitoba","0"
"Dauphin River 48A (IRI), Manitoba","0"
"Mystery Lake (LGD), Manitoba","0"
"Gillam (S-É), Manitoba","0"
"Split Lake (Part) 171 (IRI), Manitoba","0"
"Black Sturgeon (IRI), Manitoba","0"
"Saskatchewan","1,178,467"
"Census subdivisions with 5,000-plus population, Saskatchewan","725,435"
"Saskatoon (CY), Saskatchewan","280,400"
"Regina (CY), Saskatchewan","238,415"
"Prince Albert (CY), Saskatchewan","37,864"
"Moose Jaw (CY), Saskatchewan","34,735"
"Swift Current (CY), Saskatchewan","17,378"
"Yorkton (CY), Saskatchewan","16,730"
"North Battleford (CY), Saskatchewan","14,325"
"Lloydminster (Part) (CY), Saskatchewan","12,591"
"Estevan (CY), Saskatchewan","11,460"
"Warman (CY), Saskatchewan","12,903"
"Weyburn (CY), Saskatchewan","11,021"
"Martensville (CY), Saskatchewan","11,169"
"Corman Park No. 344 (RM), Saskatchewan","8,865"
"Melfort (CY), Saskatchewan","6,024"
"Humboldt (CY), Saskatchewan","6,048"
"Meadow Lake (CY), Saskatchewan","5,507"
"Census subdivisions with population under 5,000, Saskatchewan","453,032"
"Kindersley (T), Saskatchewan","4,601"
"Edenwold No. 158 (RM), Saskatchewan","4,949"
"Melville (CY), Saskatchewan","4,497"
"Battleford (T), Saskatchewan","4,430"
"Nipawin (T), Saskatchewan","4,387"
"Prince Albert No. 461 (RM), Saskatchewan","3,586"
"Buckland No. 491 (RM), Saskatchewan","3,489"
"Tisdale (T), Saskatchewan","3,537"
"White City (T), Saskatchewan","3,416"
"Vanscoy No. 345 (RM), Saskatchewan","3,115"
"Moosomin (T), Saskatchewan","2,733"
"La Ronge (T), Saskatchewan","2,827"
"Seekaskootch 119 (IRI), Saskatchewan","2,700"
"Unity (T), Saskatchewan","2,669"
"Esterhazy (T), Saskatchewan","2,537"
"Meadow Lake No. 588 (RM), Saskatchewan","2,586"
"Dundurn No. 314 (RM), Saskatchewan","2,751"
"La Loche (NV), Saskatchewan","2,548"
"Rosetown (T), Saskatchewan","2,393"
"Assiniboia (T), Saskatchewan","2,400"
"Rosthern No. 403 (RM), Saskatchewan","2,808"
"Outlook (T), Saskatchewan","2,546"
"Biggar (T), Saskatchewan","2,247"
"Pilot Butte (T), Saskatchewan","2,362"
"Britannia No. 502 (RM), Saskatchewan","2,229"
"Maple Creek (T), Saskatchewan","2,010"
"Lac La Ronge 156 (IRI), Saskatchewan","1,893"
"Blucher No. 343 (RM), Saskatchewan","2,581"
"Fort Qu'Appelle (T), Saskatchewan","2,211"
"Canora (T), Saskatchewan","2,026"
"Swift Current No. 137 (RM), Saskatchewan","2,000"
"Lumsden No. 189 (RM), Saskatchewan","2,051"
"Indian Head (T), Saskatchewan","2,159"
"Watrous (T), Saskatchewan","1,930"
"Pelican Narrows 184B (IRI), Saskatchewan","2,130"
"Kamsack (T), Saskatchewan","1,970"
"Orkney No. 244 (RM), Saskatchewan","1,886"
"Stanley 157 (IRI), Saskatchewan","1,872"
"Dalmeny (T), Saskatchewan","1,883"
"Lumsden (T), Saskatchewan","2,002"
"Wynyard (T), Saskatchewan","1,828"
"Balgonie (T), Saskatchewan","1,951"
"Shaunavon (T), Saskatchewan","1,734"
"Rosthern (T), Saskatchewan","1,901"
"Wilton No. 472 (RM), Saskatchewan","1,684"
"Shellbrook No. 493 (RM), Saskatchewan","1,591"
"Big River 118 (IRI), Saskatchewan","1,591"
"Carlyle (T), Saskatchewan","1,552"
"Langham (T), Saskatchewan","1,648"
"Frenchman Butte No. 501 (RM), Saskatchewan","1,429"
"Ahtahkakoop 104 (IRI), Saskatchewan","1,497"
"Torch River No. 488 (RM), Saskatchewan","1,549"
"Shellbrook (T), Saskatchewan","1,479"
"Hudson Bay (T), Saskatchewan","1,522"
"Creighton (T), Saskatchewan","1,302"
"Laird No. 404 (RM), Saskatchewan","1,596"
"Lac La Hache 220 (IRI), Saskatchewan","1,437"
"Aberdeen No. 373 (RM), Saskatchewan","1,389"
"Chicken 224 (IRI), Saskatchewan","1,505"
"Macklin (T), Saskatchewan","1,389"
"Estevan No. 5 (RM), Saskatchewan","1,386"
"Lanigan (T), Saskatchewan","1,536"
"Canwood No. 494 (RM), Saskatchewan","1,389"
"Oxbow (T), Saskatchewan","1,354"
"Beardy's 97 and Okemasis 96 (IRI), Saskatchewan","1,380"
"Île-à-la-Crosse (NV), Saskatchewan","1,352"
"Wadena (T), Saskatchewan","1,237"
"South Qu'Appelle No. 157 (RM), Saskatchewan","1,456"
"Osler (T), Saskatchewan","1,391"
"Mervin No. 499 (RM), Saskatchewan","1,314"
"Lajord No. 128 (RM), Saskatchewan","1,356"
"Beaver River No. 622 (RM), Saskatchewan","1,083"
"Spiritwood No. 496 (RM), Saskatchewan","1,233"
"Waldheim (T), Saskatchewan","1,164"
"Wilkie (T), Saskatchewan","1,098"
"Moose Jaw No. 161 (RM), Saskatchewan","1,209"
"Sturgeon Lake 101 (IRI), Saskatchewan","1,196"
"Maidstone (T), Saskatchewan","1,252"
"Langenburg (T), Saskatchewan","1,183"
"Battle River No. 438 (RM), Saskatchewan","1,164"
"Regina Beach (T), Saskatchewan","1,216"
"Foam Lake (T), Saskatchewan","1,244"
"Montreal Lake 106 (IRI), Saskatchewan","1,167"
"Preeceville (T), Saskatchewan","1,111"
"Buffalo Narrows (NV), Saskatchewan","1,155"
"Air Ronge (NV), Saskatchewan","1,264"
"Division No. 18, Unorganized (NO), Saskatchewan","1,266"
"Carnduff (T), Saskatchewan","1,110"
"Hudson Bay No. 394 (RM), Saskatchewan","961"
"Gravelbourg (T), Saskatchewan","1,071"
"Grenfell (T), Saskatchewan","1,092"
"St. Louis No. 431 (RM), Saskatchewan","1,121"
"Weyburn No. 67 (RM), Saskatchewan","1,097"
"Pinehouse (NV), Saskatchewan","1,120"
"Kipling (T), Saskatchewan","1,025"
"Kimosom Pwatinahk 203 (Deschambault Lake) (IRI), Saskatchewan","1,099"
"Maple Creek No. 111 (RM), Saskatchewan","1,104"
"Eston (T), Saskatchewan","1,077"
"Gull Lake (T), Saskatchewan","925"
"Davidson (T), Saskatchewan","1,104"
"Kindersley No. 290 (RM), Saskatchewan","1,053"
"Redvers (T), Saskatchewan","1,118"
"Delisle (T), Saskatchewan","1,075"
"Birch Hills (T), Saskatchewan","929"
"Kerrobert (T), Saskatchewan","1,012"
"Duck Lake No. 463 (RM), Saskatchewan","1,052"
"Longlaketon No. 219 (RM), Saskatchewan","1,176"
"Caronport (VL), Saskatchewan","1,085"
"Nipawin No. 487 (RM), Saskatchewan","998"
"Moose Range No. 486 (RM), Saskatchewan","908"
"Lashburn (T), Saskatchewan","1,017"
"Sherwood No. 159 (RM), Saskatchewan","1,084"
"Makwa Lake 129B (IRI), Saskatchewan","1,023"
